HotelName,Location,ImageURL1,ImageURL2,ImageURL3,ImageURL4,ImageURL5,ImageURL6
Canggu Cabana Resort By Ini Vie Hospitality,"Jl. Nelayan No.888A, Canggu, Kuta Utara, Badung, Bali, 80361 Canggu, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Canggu%20Cabana%20Resort%20By%20Ini%20Vie%20Hospitality/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Canggu%20Cabana%20Resort%20By%20Ini%20Vie%20Hospitality/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Canggu%20Cabana%20Resort%20By%20Ini%20Vie%20Hospitality/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Canggu%20Cabana%20Resort%20By%20Ini%20Vie%20Hospitality/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Canggu%20Cabana%20Resort%20By%20Ini%20Vie%20Hospitality/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Canggu%20Cabana%20Resort%20By%20Ini%20Vie%20Hospitality/image_6.jpg
Jambuluwuk Convention Hall & Resort Puncak,"Jl. Raya Tapos no 63, Ciawi, 16720 Puncak, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Puncak/Jambuluwuk%20Convention%20Hall%20&%20Resort%20Puncak/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Puncak/Jambuluwuk%20Convention%20Hall%20&%20Resort%20Puncak/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Puncak/Jambuluwuk%20Convention%20Hall%20&%20Resort%20Puncak/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Puncak/Jambuluwuk%20Convention%20Hall%20&%20Resort%20Puncak/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Puncak/Jambuluwuk%20Convention%20Hall%20&%20Resort%20Puncak/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Puncak/Jambuluwuk%20Convention%20Hall%20&%20Resort%20Puncak/image_6.jpg
Banyan Tree Bintan,"Jalan Teluk Berembang, Bintan, 29155 Lagoi, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Lagoi/Banyan%20Tree%20Bintan/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Lagoi/Banyan%20Tree%20Bintan/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Lagoi/Banyan%20Tree%20Bintan/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Lagoi/Banyan%20Tree%20Bintan/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Lagoi/Banyan%20Tree%20Bintan/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Lagoi/Banyan%20Tree%20Bintan/image_6.jpg
Grand Seminyak - Lifestyle Boutique Bali Resort,"Jl. Abimanyu (Dhyana Pura), Bali, 80361 Seminyak, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/Grand%20Seminyak%20-%20Lifestyle%20Boutique%20Bali%20Resort/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/Grand%20Seminyak%20-%20Lifestyle%20Boutique%20Bali%20Resort/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/Grand%20Seminyak%20-%20Lifestyle%20Boutique%20Bali%20Resort/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/Grand%20Seminyak%20-%20Lifestyle%20Boutique%20Bali%20Resort/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/Grand%20Seminyak%20-%20Lifestyle%20Boutique%20Bali%20Resort/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/Grand%20Seminyak%20-%20Lifestyle%20Boutique%20Bali%20Resort/image_6.jpg
Astera Resort Canggu by Ini Vie Hospitality,"Jalan Padang Lingjong, 80361 Canggu, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Astera%20Resort%20Canggu%20by%20Ini%20Vie%20Hospitality/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Astera%20Resort%20Canggu%20by%20Ini%20Vie%20Hospitality/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Astera%20Resort%20Canggu%20by%20Ini%20Vie%20Hospitality/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Astera%20Resort%20Canggu%20by%20Ini%20Vie%20Hospitality/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Astera%20Resort%20Canggu%20by%20Ini%20Vie%20Hospitality/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Canggu/Astera%20Resort%20Canggu%20by%20Ini%20Vie%20Hospitality/image_6.jpg
Komaneka at Tanggayuda Ubud,"Jl. Raya Tanggayuda, Banjar Tanggayuda, Ubud, 80571 Ubud, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Komaneka%20at%20Tanggayuda%20Ubud/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Komaneka%20at%20Tanggayuda%20Ubud/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Komaneka%20at%20Tanggayuda%20Ubud/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Komaneka%20at%20Tanggayuda%20Ubud/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Komaneka%20at%20Tanggayuda%20Ubud/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Komaneka%20at%20Tanggayuda%20Ubud/image_6.jpg
Nandini Jungle by Hanging Gardens,"Banjar Susut, Desa Buahan, Payangan, Bali, 80572 Payangan, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Payangan/Nandini%20Jungle%20by%20Hanging%20Gardens/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Payangan/Nandini%20Jungle%20by%20Hanging%20Gardens/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Payangan/Nandini%20Jungle%20by%20Hanging%20Gardens/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Payangan/Nandini%20Jungle%20by%20Hanging%20Gardens/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Payangan/Nandini%20Jungle%20by%20Hanging%20Gardens/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Payangan/Nandini%20Jungle%20by%20Hanging%20Gardens/image_6.jpg
tanadewa Resort Ubud Bali by Cross Collection,"Jalan Padang Getas, 80571 Ubud, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/tanadewa%20Resort%20Ubud%20Bali%20by%20Cross%20Collection/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/tanadewa%20Resort%20Ubud%20Bali%20by%20Cross%20Collection/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/tanadewa%20Resort%20Ubud%20Bali%20by%20Cross%20Collection/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/tanadewa%20Resort%20Ubud%20Bali%20by%20Cross%20Collection/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/tanadewa%20Resort%20Ubud%20Bali%20by%20Cross%20Collection/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/tanadewa%20Resort%20Ubud%20Bali%20by%20Cross%20Collection/image_6.jpg
"InterContinental Bali Resort, an IHG Hotel","Jalan Uluwatu No 45, 80361 Jimbaran, Indonesia","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Jimbaran/InterContinental%20Bali%20Resort,%20an%20IHG%20Hotel/image_1.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Jimbaran/InterContinental%20Bali%20Resort,%20an%20IHG%20Hotel/image_2.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Jimbaran/InterContinental%20Bali%20Resort,%20an%20IHG%20Hotel/image_3.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Jimbaran/InterContinental%20Bali%20Resort,%20an%20IHG%20Hotel/image_4.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Jimbaran/InterContinental%20Bali%20Resort,%20an%20IHG%20Hotel/image_5.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Jimbaran/InterContinental%20Bali%20Resort,%20an%20IHG%20Hotel/image_6.jpg"
Meruorah Komodo Labuan Bajo,"Kawasan Marina Labuan Bajo, Jalan Soekarna Hatta, Manggarai Barat, NTT , 86711 Labuan Bajo, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Labuan%20Bajo/Meruorah%20Komodo%20Labuan%20Bajo/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Labuan%20Bajo/Meruorah%20Komodo%20Labuan%20Bajo/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Labuan%20Bajo/Meruorah%20Komodo%20Labuan%20Bajo/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Labuan%20Bajo/Meruorah%20Komodo%20Labuan%20Bajo/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Labuan%20Bajo/Meruorah%20Komodo%20Labuan%20Bajo/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Labuan%20Bajo/Meruorah%20Komodo%20Labuan%20Bajo/image_6.jpg
